Film;Anno;Budget;IncassoDomestico;Durata;Rating;Votanti;LunghezzaTrama;NumeroAttori;SRR;IncassoMondiale
Big;1988;18000000;114968800;104;73;183486;647;6;4.173;151668800
Big Daddy;1999;30000000;163479800;68;61;8;503;6;2.783;228641300
Big Eyes;2014;10000000;14482000;75;70;138;724;2;2.072;27317900
Big Fat Liar;2002;15000000;47811300;88;54;33095;707;3;1.556;52461000
Big Fish;2003;70000000;66432900;125;80;395054;624;6;3.846;123954300
Big Hero 6;2014;165000000;222527800;102;78;381108;680;3;2.647;652127800
Big Miracle;2012;40000000;20157300;107;65;17858;286;12;0.699;25268700
Big Momma's House;2000;33000000;117559400;99;51;77201;736;2;2.038;173559400
Big Momma's House 2;2006;40000000;70166000;99;47;38455;609;1;1.478;137047400
Big Mommas: Like Father, Like Son;2011;32000000;37915400;107;44;23942;685;7;1.752;82332500
Big Trouble;2002;45000000;7262300;93;52;1039;131;4;2.29;8488900
Big Trouble in Little China;1986;25000000;11100000;99;73;115370;796;3;2.261;11100000
Bill & Ted's Bogus Journey;1991;20000000;37537700;93;63;59164;686;5;1.895;37537700
Bill & Ted's Excellent Adventure;1989;10000000;40485000;90;69;102855;599;3;2.504;40485000
Billy Elliot;2000;5000000;21995300;110;77;117835;450;3;2;109267100
Billy Jack;1971;800000;98000000;114;63;5252;175;4;1.143;98000000
Birdman or (The Unexpected Virtue of Ignorance);2014;18000000;42340600;119;77;533281;740;2;3.649;103215100
Birth;2004;20000000;5005900;80;62;102;612;4;2.288;14603000
Birthday Girl;2002;13000000;4919900;93;61;23546;313;3;3.834;8130700
Bitter Harvest;2017;21000000;557200;96;61;256;475;2;2.105;606200
Black and White;2000;10000000;5241300;106;57;79;235;3;3.404;5241300
Black Christmas;2006;9000000;16235700;98;72;28670;630;4;2.857;16235700
Black Hawk Down;2001;95000000;108638700;144;77;345370;701;3;2.425;159691100
Black Knight;2001;35000000;33422800;95;49;36037;667;1;1.649;33422800
Black Mass;2015;53000000;62575700;123;69;158534;526;2;3.802;98837900
Black Nativity;2013;17500000;7018200;93;45;1924;587;7;3.407;7285100
Black or White;2015;9000000;21571200;121;66;10855;104;2;1.923;21571200
Black Rain;1989;30000000;45892200;125;67;46399;678;4;0.885;45892200
Black Swan;2010;13000000;106954700;90;41;95;591;5;1.015;331266700
Blackhat;2015;70000000;8006000;133;54;49433;881;2;2.27;19665000
Blackthorn;2011;4500000;200600;102;65;8663;737;5;2.307;1217300
Blade;1998;45000000;70141900;90;54;187;498;3;2.41;131237700
Blade Runner;1982;28000000;32656300;117;81;643463;641;8;2.496;33139500
Blade Runner 2049;2017;185000000;92054200;164;80;398077;606;14;2.145;259103400
Blade: Trinity;2004;65000000;52397400;113;59;158646;562;7;1.779;131353200
Blades of Glory;2007;61000000;118594500;93;63;149690;670;2;3.582;145594500
Blair Witch;2016;10000000;20777100;89;50;38201;680;1;1.471;37493200
Blast from the Past;1999;35000000;26613600;112;66;56449;1153;5;2.428;26613600
Blazing Saddles;1974;2600000;119500000;93;77;118092;510;7;4.118;119500000
Blended;2014;45000000;46290700;117;65;109132;784;2;3.827;127990700
Bless the Child;2000;40000000;29374200;107;51;13428;326;3;2.454;40435700
Blindness;2008;25000000;3073400;88;67;63;669;7;4.484;20053000
Blonde Ambition;2007;10000000;6400;84;65;112;282;2;6.028;1537500
Blood and Wine;1997;26000000;1083400;101;60;8770;590;5;1.695;1083400
Blood Diamond;2006;100000000;57377900;143;80;470183;584;3;1.37;171377900
Blood Simple;1985;1500000;1690900;99;76;81207;429;5;1.399;2730900
Blood Work;2002;50000000;26199500;110;64;39979;225;4;4;26199500
Bloodsport;1988;1500000;11806100;92;68;70778;402;3;1.493;11806100
Blow;2001;30000000;52990800;124;76;227454;739;2;3.248;83282300
Blow Out;1981;18000000;13747200;108;74;38923;785;4;1.911;13747200
Blue Crush;2002;30000000;40118400;104;56;28860;586;3;2.389;51618400
Blue Jasmine;2013;18000000;33404900;98;73;182268;571;8;2.277;102913000
Blue Ruin;2014;420000;258400;90;71;60456;492;3;1.22;435200
Blue Streak;1999;36000000;68208200;93;63;70203;743;4;2.557;117448200
Blue Valentine;2010;1000000;9737900;112;74;173161;593;2;2.024;16566200
Boat Trip;2003;15000000;8586400;94;49;29328;296;7;6.419;14933700
Bobby;2006;14000000;11242800;168;71;1493;494;2;2.834;20597800
Bobby Jones: Stroke of Genius;2004;17000000;2694100;120;67;3580;471;3;2.972;2694100
Body Double;1984;10000000;8801900;114;68;26092;555;4;3.063;8801900
Body of Lies;2008;67500000;39394700;128;71;202525;924;2;3.03;118556500
Boiler Room;2000;9000000;16964000;120;70;46978;886;4;2.37;28773600
Bolt;2008;150000000;114053600;96;68;177925;627;2;2.871;328015000
Bon Cop, Bad Cop;2006;8000000;12671300;116;68;11318;578;4;1.73;12740700
Bon Voyage;2004;20000000;2353700;114;67;4605;174;1;2.874;8361700
Bones;2001;10000000;7316700;97;62;43;1010;3;2.673;8378900
Boogeyman;2005;20000000;46752400;89;42;28852;616;3;4.546;67192900
Boogie Nights;1997;15000000;26410800;155;79;223598;623;10;3.852;43111700
Book of Shadows: Blair Witch 2;2000;15000000;26421300;90;39;34331;871;3;1.263;47721300
Boom Town;1940;2000000;9172000;119;71;2873;407;3;3.44;9172000
Boomerang;1992;42000000;70052400;100;61;360;353;2;1.416;131052400
Born on the Fourth of July;1989;14000000;70001700;145;72;91437;657;3;1.827;70001700
Bottle Rocket;1996;5000000;407500;91;70;65307;721;3;2.497;407500
Bounce;2000;35000000;36805300;106;57;19354;619;2;3.231;53425300
Bound;1996;4500000;3802300;109;73;47861;886;3;2.257;7011300
Bowfinger;1999;55000000;66458800;97;64;63412;529;3;1.323;98699800
Boyhood;2014;4000000;25380000;111;70;61;623;2;4.976;57273000
Boys and Girls;2000;16000000;21799700;100;54;7;417;3;5.516;21799700
Boys Don't Cry;1999;2000000;11540600;118;75;88291;483;2;3.727;20741000
Boyz n the Hood;1991;6500000;56190100;112;77;114991;1088;6;2.574;56200600
BrÃ?no;2009;42000000;60054500;81;58;135833;760;1;3.29;138708500
Brainstorm;1983;15000000;8921100;105;67;465;379;3;3.166;8921100
Bram Stoker's Dracula;1992;40000000;82522800;128;74;177778;744;4;0.807;215862700
Bran Nue Dae;2010;6750000;113600;85;62;1633;484;5;2.686;6812500
Brave;2012;185000000;237282200;58;68;223;611;7;2.619;554606500
Braveheart;1995;72000000;75545600;71;70;174;641;4;1.404;209045500
Brazil;1985;15000000;9929100;91;66;148;517;5;2.515;9932100
Breakdown;1997;36000000;50159100;76;61;45;798;3;0.752;50159100
Breakfast of Champions;1999;12000000;178300;110;46;7391;94;7;5.319;178300
Breakin' All the Rules;2004;9000000;12232400;85;57;5681;509;3;4.126;12512300
Brick Lane;2008;2500000;1095000;102;66;2842;166;1;4.217;3838500
Brick Mansions;2014;28000000;20396800;90;57;38033;511;2;4.11;73421200
Bride of Chucky;1998;25000000;32404200;89;54;49407;995;4;1.508;50692200
Bride Wars;2009;30000000;58715500;89;55;95929;739;3;2.571;115150400
Bridesmaids;2011;32500000;169211700;125;68;253577;18;2;11.111;289632000
Bridge to Terabithia;2007;25000000;82234100;96;71;134116;413;4;3.39;137984800
Bridget Jones's Diary;2001;25000000;71500600;97;67;210725;870;3;2.989;281527200
Bright Star;2009;8500000;4444600;119;69;24272;490;2;3.265;17220100
Brighton Rock;2011;11000000;229700;92;74;4841;777;3;1.673;229700
Bring it On;2000;10000000;68353600;98;60;82464;640;4;2.5;90453600
Bringing Down the House;2003;20000000;132675400;105;56;33625;371;3;3.235;164675400
Bringing Out The Dead;1999;32000000;16640200;121;68;59833;761;3;3.548;16640200
Brokeback Mountain;2005;13900000;83043800;134;77;305173;648;5;3.549;177012200
Brokedown Palace;1999;25000000;10115000;100;65;20852;343;4;3.207;11115800
Broken Arrow;1996;65000000;70646000;93;72;6968;456;4;1.974;148346000
Broken City;2013;35000000;19701200;109;62;72451;690;7;2.899;34480000
Broken Flowers;2005;10000000;13745000;106;72;93709;388;6;5.155;40745000
Broken Vessels;1999;600000;15000;90;66;572;134;3;6.716;85300
Bronson;2009;230000;105000;92;71;112281;771;1;3.372;2703800
Brooklyn;2015;11000000;38322700;117;75;120008;438;7;4.338;62076100
Brooklyn Rules;2007;8000000;458200;99;63;5342;165;3;3.03;458200
Brooklyn's Finest;2010;17000000;27163600;132;67;58671;677;4;2.363;39233200
Brother;2001;12000000;450600;84;66;37;267;2;2.996;450600
Brothers;2009;26000000;28544200;105;65;111;487;4;2.875;45043900
Brown Sugar;2002;8000000;27362700;109;65;8071;412;3;5.583;28315300
Bruce Almighty;2003;81000000;242705000;101;67;351825;764;4;2.749;484468600
Bubba Ho-Tep;2003;1000000;1239200;92;70;43818;579;3;2.418;1492900
Bubble Boy;2001;13000000;5002300;84;56;28848;942;1;2.123;5002300
Bucky Larson: Born to Be a Star;2011;10000000;2529400;97;32;10817;243;4;3.292;2529400
Buffalo '66;1998;1500000;2380600;110;75;43643;96;3;3.125;2380600
Buffalo Soldiers;2003;15000000;353700;98;68;22535;580;3;3.621;353700
Buffy the Vampire Slayer;1992;7000000;14231700;86;56;37696;733;5;4.911;14231700
Bug;2007;4000000;7006700;99;52;1771;67;2;1.493;8303000
Bullet to the Head;2013;55000000;9489800;92;57;45421;556;6;1.978;22598000
Bullets Over Broadway;1994;20000000;13383700;98;74;33594;110;9;3.636;13383700
Bully;2001;2100000;881800;108;69;33097;496;3;3.427;1381800
Bulworth;1998;30000000;26528700;108;68;23917;733;6;3.001;29203400
Buried;2010;1987700;1044100;95;70;141753;686;1;2.624;21270300
Burlesque;2010;55000000;39440700;105;52;22;818;8;2.445;90552700
Burn After Reading;2008;37000000;60355300;96;70;292500;679;6;2.798;168167800
But I'm a Cheerleader;2000;1200000;2205600;85;66;23874;523;3;6.119;2509300
Butch Cassidy and the Sundance Kid;1969;6000000;102308900;110;80;190926;601;3;2.496;102308900
Butterfly;2010;250000;0;80;70;14;690;5;2.174;0
C.H.U.D.;1984;1250000;4700000;88;56;9767;632;2;2.69;4700000
Cabin Fever;2003;1500000;21158200;102;67;305;866;3;1.963;30351700
Cadillac Records;2008;12000000;8195600;109;70;18691;89;3;3.371;8942500
Calendar Girls;2003;10000000;31011600;108;69;22141;308;2;2.273;93074600
Camp X-Ray;2014;1000000;9800;117;69;37273;401;2;3.99;9800
Can't Hardly Wait;1998;10000000;25359000;100;65;42645;604;6;6.126;25359000
Cape Fear;1991;35000000;79092000;106;77;24355;317;7;2.524;182292000
Capote;2005;7000000;28750500;114;73;118911;643;6;3.577;49924100
Captain America: Civil War;2016;250000000;408084300;147;78;607219;631;2;1.743;1153304500
Captain America: The First Avenger;2011;140000000;176654500;124;69;687501;643;15;1.244;370569800
Captain America: The Winter Soldier;2014;170000000;259747000;136;77;686168;686;2;2.624;714401900
Captain Corelli's Mandolin;2001;57000000;25528500;131;59;31631;447;2;5.593;62097500
Captain Phillips;2013;55000000;107136400;134;78;394339;685;11;2.92;220648200
Captain Underpants: The First Epic Movie;2017;38000000;73921000;89;62;22824;774;11;2.455;123261000
Captive;2015;2000000;2583300;98;45;413;38;2;7.895;2792000
Caravans;1978;14000000;1000000;127;61;725;199;3;2.01;1000000
Cargo;2011;4200000;0;80;25;336;166;3;1.205;313200
Carnage;2011;25000000;2546700;91;29;434;432;4;1.62;38112200
Carol;2015;11800000;12711500;118;72;103863;668;5;4.192;43245000
Carousel;1956;3380000;0;128;66;5397;536;2;2.239;3200
Carrie;2013;30000000;35266600;118;73;1969;766;3;2.089;82409500
Cars;2006;70000000;244083000;117;71;338852;640;6;1.875;461651200
Cars 2;2011;200000000;191450900;106;61;144256;601;33;1.498;560155400
Casa de mi Padre;2012;6000000;5909500;84;55;19349;104;11;4.808;8447000
Casablanca;1943;1039000;10462500;102;85;486824;667;6;2.849;10462500
Case 39;2010;27000000;13261900;109;62;73226;792;4;1.136;28773800
Casino Jack;2010;12500000;2039900;108;62;16291;23;8;0;2272200
Casino Royale;2006;102000000;167365000;131;52;25470;748;7;2.005;594420300
Casper;1995;55000000;100328200;100;61;110578;838;4;3.341;282300000
Cast Away;2000;85000000;233632100;143;78;483071;676;2;3.846;427230500
Cat on a Hot Tin Roof;1958;3000000;17570300;108;80;41599;602;6;2.16;17570300
Cat People;1982;12500000;7000000;73;73;18055;704;3;1.563;21000000
Catch a Fire;2006;14000000;4299800;101;67;9807;415;2;1.446;5782200
Catch That Kid;2004;18000000;16703800;91;52;9193;544;3;2.941;16959600
Catch-22;1970;18000000;24911700;122;72;20667;398;11;1.759;24911700
Cats & Dogs;2001;60000000;93375200;87;51;53658;1160;6;2.414;200700000
Cats & Dogs: The Revenge of Kitty Galore;2010;85000000;43585800;82;43;12913;748;16;1.738;113026400
Cats Don't Dance;1997;32000000;3588600;75;69;6632;649;0;2.928;3588600
Catwoman;2004;100000000;40202400;104;33;104519;506;6;5.336;82145400
Cecil B. Demented;2000;10000000;1277000;87;62;12824;649;5;2.619;1953900
Cedar Rapids;2011;10000000;6861100;87;62;35013;660;14;4.394;7862100
Celebrity;1998;12000000;5078700;70;77;6;118;5;6.78;6200000
Cellular;2004;45000000;32003600;94;65;89090;682;4;1.906;61476000
Center Stage;2000;18000000;17200900;126;75;1592;766;3;3.264;21361100
Centurion;2010;15000000;123600;97;64;74911;1083;6;2.124;7885000
Chain Reaction;1996;55000000;21226200;107;57;45966;814;5;1.966;60209300
Chairman of the Board;1998;7000000;306700;95;23;5626;142;2;2.817;306700
Changeling;2008;55000000;35739800;141;77;225856;782;1;1.023;113805600
Changing Lanes;2002;45000000;66790200;98;64;64163;547;3;1.828;66790200
Chappie;2015;49000000;31569300;120;68;217376;702;3;1.14;105002100
Chariots of Fire;1981;5500000;61558200;125;72;50285;658;3;2.432;61865900
Charlie and the Chocolate Factory;2005;150000000;206459100;115;66;397404;807;7;1.363;475825500
Charlie St. Cloud;2010;44000000;31206300;99;64;55766;687;7;2.329;48478100
Charlie Wilson's War;2007;75000000;66661100;102;70;102376;430;3;2.093;119512800
Charlie's Angels;2000;90000000;125305500;98;55;166200;572;7;2.098;259736100
Charlie's Angels: Full Throttle;2003;120000000;100814300;106;49;114747;682;5;3.079;227200000
Charlotte's Web;2006;82500000;82985700;94;69;15740;693;5;3.03;143985700
Charly;2002;950000;814700;103;70;5879;535;2;2.243;814700
Chasing Amy;1997;250000;12006500;113;72;126917;585;4;5.983;15155100
Chasing Liberty;2004;23000000;12189500;101;61;34767;709;3;2.539;12292000
Chasing Mavericks;2012;20000000;6002800;116;72;29407;434;10;1.843;8300800
Chasing Papi;2003;9000000;6126200;80;48;3780;1167;4;2.742;12657400
Cheaper by the Dozen;2003;40000000;138614500;86;70;4337;137;2;0.73;190212100
Cheaper by the Dozen 2;2005;60000000;82571200;94;55;51441;587;7;1.022;135015300
Chernobyl Diaries;2012;1000000;18119600;86;50;61649;738;8;2.304;42411700
Chicago;2002;30000000;170687500;118;71;347;140;2;2.143;306770500
Chicken Little;2005;60000000;135386700;81;57;80331;656;3;2.134;310043800
Chicken Run;2000;42000000;106793900;84;70;167089;685;3;1.898;227793900
Child 44;2015;50000000;1224300;137;65;60946;1104;2;2.174;3434300
Children of Men;2006;76000000;35552400;109;79;436458;628;2;1.911;69845000
Child's Play;1988;9000000;33244700;68;51;74;640;4;2.031;44196700
Child's Play 2;1990;13000000;26904600;84;58;41807;644;2;1.863;34166600
Chill Factor;1999;34000000;11264000;95;47;27;422;2;2.607;11264000
CHiPS;2017;25000000;18600200;100;60;38559;1337;8;2.169;23190700
Chocolat;2000;25000000;71309800;105;73;2535;954;5;4.088;152500300
Choke;2008;3400000;2926600;98;75;712;403;3;3.474;4124300
Chronicle;2012;12000000;64575200;84;70;231790;747;7;1.606;123681800
Chuck&Buck;2000;250000;1055700;96;65;5078;466;3;4.506;1157700
Cinderella;2015;95000000;201151400;52;61;909;522;3;2.49;534551400
Cinderella Man;2005;88000000;61649900;144;80;168466;502;5;1.992;105021500
Circle;2010;2000000;10000;72;53;17;689;7;7.257;10000
Cirque du Freak: The Vampire's Assistant;2009;40000000;14046600;109;59;41450;588;9;2.041;39754000
City by the Sea;2002;40000000;22433900;108;61;23456;197;4;3.046;22433900
City Hall;1996;40000000;20278100;111;62;18645;233;6;1.288;20278100
City Island;2010;6000000;6671300;104;74;29623;361;5;4.432;8173500
City of Angels;1998;55000000;78750900;114;67;108441;555;4;5.405;198750900
City of Ember;2008;38000000;7873000;90;65;60241;373;3;2.413;17831600
City of Ghosts;2003;17500000;325500;116;60;4764;242;3;3.719;325500
Civil Brand;2003;500000;254300;95;52;654;1502;3;1.398;254300
Clash of the Titans;2010;125000000;163214900;118;69;38327;616;7;0.974;493214900
Class of 1984;1982;3250000;6965400;98;66;8647;443;4;1.129;6965400
Clay Pigeons;1998;8000000;1793400;104;66;10237;142;4;7.042;2256600
Clean;2006;10000;138700;111;68;4352;405;4;2.963;138700
Clear and Present Danger;1994;62000000;122012700;141;69;83339;528;9;1.515;207500000
Cleopatra;1963;42000000;57000000;100;52;419;245;3;2.449;71000000
Clerks;1994;27000;3073400;92;77;204014;792;2;3.914;3894200
Clerks II;2006;5000000;24148100;97;73;125952;696;6;3.448;27342200
Click;2006;82500000;137355600;105;55;6;541;4;5.36;237685100
Cliffhanger;1993;65000000;84049200;113;64;113327;807;4;1.611;255000000
Clockstoppers;2002;26000000;36985500;94;52;12831;575;5;3.13;38788800
Clockwatchers;1998;2000000;537900;96;65;4388;400;3;2.25;540000
Close Encounters of the Third Kind;1977;20000000;169100500;138;76;170924;746;5;2.681;340800500
Closer;2004;35000000;33987800;104;72;193072;978;4;3.579;116177700
Cloud Atlas;2012;102000000;27108300;172;74;330666;710;13;3.38;130673200
Cloudy with a Chance of Meatballs;2009;100000000;124870300;90;69;190361;637;13;1.57;236827700
Cloudy with a Chance of Meatballs 2;2013;78000000;119793600;95;64;83071;603;9;2.488;274392600
Cloverfield;2008;25000000;80048400;85;70;356539;725;4;2.483;171302200
Club Dread;2004;8500000;5001700;104;57;27148;619;4;1.939;7573600
Clueless;1995;13700000;56598500;97;68;161481;548;9;3.65;56598500
Coach Carter;2005;45000000;67264900;136;73;114869;1239;4;0.888;76665500
Cobra;1986;25000000;49042200;70;64;657;270;2;1.482;49042200
Coco;2017;175000000;208643300;95;33;1345;758;12;1.451;738986200
Code 46;2004;7500000;197100;93;62;19450;1325;2;2.566;1788300
Code Name: The Cleaner;2007;20000000;8135000;84;46;10883;18;3;0;8135000
Cold Mountain;2003;80000000;95632600;154;72;133749;1010;3;5.149;165173900
Collateral;2004;60000000;100170200;120;75;340113;762;3;1.312;217670200
Collateral Damage;2002;85000000;40048300;108;55;69382;706;6;2.125;78353500
College;2008;6000000;4694500;66;71;4028;286;2;2.797;6176100
Collide;2017;29200000;2280000;99;57;13787;184;7;2.717;5278500
Colombiana;2011;40000000;36665900;108;64;89006;368;5;3.261;72295300
Come Early Morning;2006;6000000;119500;97;61;2494;174;3;3.448;119500
Coming Home;1978;3000000;32653000;127;73;11482;454;3;5.066;32653000
Commando;1985;10000000;35074000;101;74;58;419;7;1.909;35074000
Compliance;2012;270000;319300;90;64;29165;346;7;2.312;830700
Con Air;1997;80000000;101117600;115;69;261602;768;7;2.214;224117600
Conan the Barbarian;1982;20000000;38264100;129;69;130257;665;3;1.504;79114100
Conan the Destroyer;1984;18000000;26400000;103;59;72589;542;4;1.107;26400000
Concussion;2015;35000000;34531800;96;56;3921;43;4;4.651;50363800
Confessions of a Dangerous Mind;2002;29000000;16007700;113;70;80007;516;4;1.938;33013800
Confessions of a Teenage Drama Queen;2004;15000000;29331100;89;46;26236;675;1;1.926;33118900
Confidence;2003;15000000;12212400;97;67;32542;529;6;2.647;12212400
Conquest of the Planet of the Apes;1972;1700000;9700000;88;61;28457;637;4;3.297;9700000
Conspiracy Theory;1997;80000000;76119000;135;67;88881;590;3;2.034;142783700
Constantine;2005;75000000;75976200;121;70;285308;727;3;2.614;221594900
Contact;1997;90000000;100920300;150;74;239622;664;7;1.355;165900000
