Film;Anno;Budget;IncassoDomestico;Durata;Rating;Votanti;LunghezzaTrama;NumeroAttori;SRR;IncassoMondiale
Songcatcher;2001;1800000;3050900;109;72;3095;380;2;4.474;3050900
Sorcerer;1977;21600000;12000000;121;77;15512;815;3;2.454;12006000
Sorority Boys;2002;12000000;10198800;93;55;13319;738;3;2.439;12516200
Sorority Row;2009;12500000;11965300;101;51;27400;999;10;1.902;26735800
Soul Food;1997;7500000;43492400;115;70;6447;689;5;3.483;43492400
Soul Men;2008;40000000;12082400;100;64;10089;133;2;7.519;12345900
Soul Plane;2004;16000000;13922200;86;45;20689;550;3;4;14553800
Soul Surfer;2011;18000000;43853400;112;70;42506;737;5;2.035;47158700
Soul Survivors;2001;14000000;3100700;84;39;7981;657;3;2.74;4288200
Sound of My Voice;2012;135000;408000;85;66;19717;450;4;2.444;429400
Source Code;2011;32000000;54712200;93;75;459589;584;4;4.623;140428500
South Park: Bigger, Longer & Uncut;1999;21000000;52037600;81;77;184808;550;4;3.091;52037600
Space Chimps;2008;37000000;30106000;81;45;10258;621;4;2.254;67030000
Space Cowboys;2000;65000000;90454000;130;64;69931;850;10;1.647;128874000
Space Jam;1996;80000000;90463500;88;64;145416;726;4;1.24;250200000
Space Pirate Captain Harlock;2013;30000000;0;100;71;324;1787;0;2.966;143500
Spaceballs;1987;22700000;38119500;96;71;161610;620;6;1.129;38119500
Spaced Invaders;1990;3000000;15000000;100;53;3118;586;1;2.73;15000000
Spanglish;2004;75000000;42044300;131;64;74746;982;4;2.75;54344300
Sparkle;2012;10000000;24397500;98;70;1283;1764;8;2.324;24660300
Spartacus;1960;12000000;30000000;197;79;115557;908;10;3.414;60000000
Spawn;1997;40000000;54980000;96;53;61056;478;7;1.046;87949900
Special;2008;1000000;7200;81;69;5199;713;1;1.823;26800
Species;1995;35000000;60054400;108;58;70440;653;6;3.216;113354400
Spectre;2015;300000000;200074200;148;68;358859;527;2;2.087;879620900
Speed;1994;30000000;121248100;70;60;391;657;5;0.913;283200000
Speed 2: Cruise Control;1997;110000000;48097100;121;39;70845;665;3;1.805;150468000
Speed Racer;2008;120000000;43945800;135;60;66010;641;5;1.716;93394500
Speedway Junky;2001;1000000;17100;105;57;1532;484;3;4.339;17100
Spellbound;1945;1500000;7000000;111;76;40089;615;2;2.276;7000000
Sphere;1998;73000000;37068300;134;61;95015;616;4;4.546;50168300
Sphinx;1981;10000000;2000000;118;52;1083;85;3;1.177;11400000
Spice World;1998;25000000;29342600;93;35;31989;675;5;2.815;56042600
Spider;2003;10000000;1641800;98;68;34065;252;3;1.984;1641800
Spider-Man;2002;139000000;403706400;121;73;652390;695;7;5.899;821706400
Spider-Man 2;2004;200000000;373524500;127;73;511595;696;5;4.454;795110700
Spider-Man 3;2007;258000000;336530300;139;62;471035;679;5;2.062;894860200
Spider-Man: Homecoming;2017;175000000;334201100;133;74;458782;635;19;2.52;880206500
Spirit: Stallion of the Cimarron;2002;80000000;73215300;83;71;59320;678;3;1.475;106515300
Splash;1984;8000000;62599500;111;62;64529;876;4;2.511;62599500
Splice;2010;30000000;17010200;104;57;89112;579;2;0.864;26857500
Split;2017;5000000;138141600;85;53;140;923;13;2.817;278450000
Split Second;1992;7000000;5430800;85;69;1287;260;3;1.923;5430800
SpongeBob SquarePants: The Movie;2004;30000000;85416600;87;70;72815;744;4;1.344;142051300
Spring Breakers;2013;5000000;14124300;94;53;128856;498;6;3.012;31149300
Spun;2003;4500000;410200;101;68;35616;734;3;2.452;1022600
Spy Game;2001;90000000;62362600;126;71;137676;600;2;2.5;143049600
Spy Hard;1996;18000000;26936300;81;54;34533;253;6;3.557;26936300
Spy Kids;2001;35000000;112692100;88;54;101764;671;7;1.788;197692100
Spy Kids 3-D: Game Over;2003;40000000;111760600;84;42;50838;988;5;2.935;167852000
Spy!;2015;65000000;110825700;77;67;26;763;2;3.146;233125700
Stand by Me;1986;8000000;52287400;89;81;340583;566;5;2.297;52287400
Star Trek;2009;140000000;257730000;127;79;561128;701;11;2.71;385680400
Star Trek Beyond;2016;185000000;158848300;122;71;214092;784;2;1.276;336398300
Star Trek II: The Wrath of Khan;1982;12000000;78913000;113;77;106709;764;3;2.094;95800000
Star Trek III: The Search for Spock;1984;18000000;76471000;105;67;70021;530;3;1.509;87000000
Star Trek Into Darkness;2013;190000000;228778700;132;77;449523;694;11;2.161;467381600
Star Trek IV: The Voyage Home;1986;24000000;109713100;119;73;73789;552;11;0.906;133000000
Star Trek V: The Final Frontier;1989;30000000;52210000;107;55;52797;436;7;2.294;70200000
Star Trek VI: The Undiscovered Country;1991;27000000;74889000;110;72;66103;767;8;1.956;96900000
Star Trek: First Contact;1996;46000000;92027900;111;76;111989;648;8;2.161;150000000
Star Trek: Generations;1994;38000000;75671300;118;66;71591;826;2;1.332;120000000
Star Trek: Insurrection;1998;70000000;70187700;103;64;66323;641;3;2.184;117800000
Star Trek: Nemesis;2002;60000000;43254400;116;64;69248;685;8;2.19;67312800
Star Trek: The Motion Picture;1979;35000000;82258500;132;64;76327;506;6;2.372;139000000
Star Wars: The Clone Wars;2008;8500000;35161600;98;59;51219;480;4;1.458;68695400
Stardust;2007;70000000;38634900;75;48;22;691;3;1.592;137022200
