Film;Nomination;Anno;WikiPageQuality;BestWikiRankLocale;BestWikiRankGlobale;LikesProtagonista;Durata;Morti;Rating;Votanti;LikesFilm;LikesRegista;Budget;IncassoDomestico;LunghezzaTrama;NumeroAttori;SRR; IncassoMondiale 
Scarface;0;1983;93.4362;1947;2382;824475;93;44;78;23399;8073272;15023;25000000;44942800;480;3;2.292;44942800
The Transporter;0;2002;31.6558;5784;5193;53089569;92;8;68;273192;2341023;0;21000000;25296400;717;3;2.929;43928900
Crank;0;2006;40.041;919;1112;53089569;88;29;69;224700;2716400;0;12000000;27838400;683;2;1.318;43924900
A Man Apart;0;2003;27.5018;9999;9999;97091653;109;39;61;42852;89575;0;36000000;26500000;257;3;1.167;43797700
The French Connection;1;1971;63.2758;9999;9999;813;104;12;77;101538;383;574;2200000;41158800;1032;2;2.616;41158800
War;0;2019;25.7226;6587;9999;53089569;120;97;77;3617;20314;0;25000000;22486400;661;2;2.421;40686400
Serenity;0;2005;92.3077;9999;9999;5127;119;74;78;273468;775401;278304;39000000;25514500;720;4;1.667;40319400
Memento;1;2001;84.9146;296;667;716;85;4;74;39;976963;356882;5000000;25544900;577;3;2.253;39723100
The Running Man;0;1987;41.5485;9999;9999;581;103;41;65;940;0;1836;30000000;38122000;702;3;1.567;38122000
The Fog;0;2005;38.377;9999;9999;359937;70;6;70;28;255;181555;18000000;29511100;721;5;0.971;37048500
Mad Max Beyond Thunderdome;0;1985;42.5622;96;224;794;107;12;63;120045;1550416;234;10000000;36230200;706;2;1.983;36230200
Assault On Precinct 13;0;2005;19.683;9999;9999;954;91;39;74;40251;471;244;30000000;20040900;575;3;1.043;36040900
Commando;0;1985;41.2045;9999;9999;23108;101;88;74;58;281893;0;10000000;35074000;419;7;1.909;35074000
In Bruges;1;2008;51.2899;4122;7495;65;107;5;79;369395;217663;1103;15000000;7800800;683;3;1.611;34533800
The Usual Suspects;1;1995;79.2784;3841;5325;2950098;106;39;85;926834;862660;789;6000000;23341600;618;9;1.618;34449400
Day of the Dead;0;1985;63.2711;9999;9999;2623;96;40;72;59361;0;14355;3500000;5804300;757;2;2.246;34004300
Red Planet;0;2000;30.8696;9999;9999;0;106;4;57;53157;0;0;80000000;17480900;1011;3;2.77;33464000
The Long Kiss Goodnight;0;1996;31.7526;9999;9999;394;121;68;68;68493;1202;5774;65000000;33447600;786;5;5.471;33447600
Blade Runner;1;1982;96.4903;5;5;28410;117;5;81;643463;1528911;9476;28000000;32656300;641;8;2.496;33139500
Dracula 2000;0;2000;38.6568;9999;9999;4763060;99;18;48;30797;66467;0;28000000;33000400;637;3;2.355;33000400
Sunshine;0;2007;73.7413;8952;9999;7500520;181;15;75;12455;89949;58199;40000000;3688600;658;3;2.128;32030600
Cabin Fever;0;2003;69.0866;9615;9999;427;102;19;67;305;155;0;1500000;21158200;866;3;1.963;30351700
Shaun of the Dead;0;2004;65.0036;3922;5531;605;99;60;79;480218;1530673;6345;5000000;13542900;388;3;1.804;30332400
Road House;0;1989;51.7366;9999;9999;623;76;7;54;29;455370;0;10000000;30050000;658;2;1.368;30050000
American Psycho;0;2000;69.7815;1148;2114;329131;101;18;76;443873;1201411;0;8000000;15070300;694;3;6.484;28674400
Taxi Driver;1;1976;24.7645;9999;9999;1819548;133;4;71;233;1251812;1631839;1000000;28262600;623;6;1.124;28316200
The Shawshank Redemption;1;1994;100;672;982;17962777;142;4;93;2155026;5084301;0;25000000;28241500;698;7;2.436;28307100
Appaloosa;0;2008;35.678;7365;9999;47335;115;10;67;56279;21276;0;20000000;20211400;628;4;2.548;27911500
RocknRolla;0;2008;43.6462;2102;5146;751277;114;11;73;222853;267277;20823;18000000;5700600;632;4;3.165;27794300
To Die For;0;1995;8.9709;9999;9999;548;94;2;48;442;123;45273;20000000;21284500;37;1;8.108;27688700
The Thing;0;2011;85.7434;187;1015;957;109;21;81;340979;644467;181555;38000000;16999900;613;3;3.263;27573100
Dune;1;1984;62.7353;5935;7974;913;137;186;65;113667;81764;1289140;45000000;27447500;890;8;2.247;27447500
The Big Hit;0;1998;29.5171;9999;9999;904;91;38;61;27444;11320;0;13000000;27066900;494;5;3.036;27066900
The Musketeer;0;2001;9.9223;9999;9999;964;104;56;48;13674;0;0;40000000;27053800;555;5;1.622;27053800
Timeline;0;2003;23.3499;9999;9999;43375159;116;65;56;58006;0;0;80000000;19480700;751;3;3.063;26703200
Glory;1;1989;70.4161;9999;9999;137852;100;258;57;187;0;0;18000000;26593600;223;2;1.345;26593600
The New World;1;2005;48.4202;9999;9999;329131;135;28;67;79392;98;14437;30000000;12712100;837;4;2.867;26184400
Fair Game;0;1995;25.9621;9999;9999;41205;86;21;60;839;38807;0;50000000;11497500;517;2;1.934;26097500
From Dusk Till Dawn;0;1996;53.9777;3754;3401;436632;108;122;72;269045;744500;436632;20000000;25729000;442;7;1.584;25733000
Desperado;0;1995;37.8677;9999;9999;436632;104;80;72;162824;225948;436632;7000000;25532400;682;2;2.053;25532400
Escape From New York;0;1981;64.7755;3052;6625;742;99;28;72;114836;539;181555;6000000;25244700;741;6;2.564;25244700
The Alamo;1;2004;43.7462;9999;9999;2328159;162;249;69;13427;1507;0;92000000;22406400;617;6;1.621;23911400
Domino;0;2005;50.9314;9999;9999;984;118;51;73;25;0;5064205;50000000;10169200;612;6;1.634;22969200
Doomsday;0;2008;76.5642;9999;9999;165;60;188;68;65;81914;0;33000000;11008800;322;2;4.969;21621200
The Devil's Rejects;0;2005;46.5298;5113;9253;200056;107;30;68;88549;1158740;5293891;7000000;17045000;641;4;1.092;20940400
Super Mario Bros.;0;1993;98.737;7721;9999;732;104;8;40;46242;0;0;42000000;20844900;674;7;2.374;20844900
Walk Hard: The Dewey Cox Story;0;2007;35.7251;4778;9999;553;96;5;68;63503;73936;0;35000000;18317200;924;2;2.381;20606100
A Christmas Story;0;1983;83.4339;600;1513;662;94;4;80;122756;1616630;0;3250000;20605200;246;3;2.033;20605200
The Adventures of Ford Fairlane;0;1990;36.471;9999;9999;879;104;7;65;16424;883;5774;49000000;20423400;424;10;2.358;20423400
Action Jackson;0;1988;30.3961;9999;9999;23108;96;17;54;9404;961;0;7000000;20257000;710;4;2.113;20257000
Creepshow;0;1982;53.7935;9999;9999;875;120;15;69;39054;239338;14355;8000000;20036200;1329;7;1.053;20036200
Get Carter;0;2000;91.6225;9999;9999;6398015;112;5;74;26841;23192;0;40000000;14967200;678;6;2.065;19417200
Summer of Sam;0;1999;29.2638;9999;9999;978;142;10;67;34488;0;760482;22000000;19288100;859;4;3.958;19288100
The Replacement Killers;0;1998;61.9264;9999;9999;978;87;38;62;25923;0;0;30000000;19035700;672;3;2.083;19035700
Last Man Standing;0;1996;27.5006;9999;9999;995;90;57;55;73;746795;210;67000000;18115900;1217;3;1.15;18115900
Invasion U.S.A.;0;1985;37.1407;9999;9999;371;107;146;54;8037;545;0;10000000;17536300;430;2;3.721;17536300
Jason X;0;2002;44.5405;3541;6108;24970;91;27;44;47587;0;0;14000000;13121600;890;3;1.461;16951800
Death Sentence;0;2007;28.551;9999;9999;856;90;15;64;325;2664;80353;20000000;9534300;638;4;1.254;16907800
Kiss Kiss Bang Bang;0;2005;44.3369;9105;9999;29346388;112;15;60;112;1588;6345;15000000;4235800;722;2;1.939;16829500
The Corruptor;0;1999;24.5027;9999;9999;258;110;37;61;16845;183;0;10000000;15164500;754;3;2.785;15164500
Soldier;0;1998;38.5722;9936;9999;933;99;77;60;49659;0;1432;75000000;14623100;865;4;2.775;14623100
The Messenger: The Story of Joan of Arc;0;1999;64.4208;9999;9999;0;158;223;64;61821;123;195090;50000000;14271300;644;4;2.019;14271300
Fear and Loathing in Las Vegas;0;1998;75.3813;7434;6645;713125;118;10;76;246069;435608;481941;18500000;10680300;747;2;1.606;13711900
The Way of the Gun;0;2000;36.8921;9999;9999;187;119;18;67;30539;680;0;9000000;6047900;621;2;0.966;13061900
Slither;0;2006;52.5775;9999;9999;499;97;102;62;1151;0;582579;15250000;7802500;460;3;2.826;12930300
True Romance;0;1993;52.1593;2516;4084;85185;119;21;79;192500;496819;5064205;12500000;12281000;441;9;1.587;12310000
Dark Blue;0;2003;15.6485;9999;9999;556;118;8;66;19591;625;0;15000000;9237500;699;3;1.86;12262100
Lone Wolf McQuade;0;1983;45.48;9999;9999;926;107;61;64;9978;624;0;5000000;12232600;894;3;2.013;12232600
Layer Cake;0;2005;35.5059;6869;9999;751277;105;8;73;156604;1167;905;6500000;2340000;875;3;3.086;11745900
Big Trouble In Little China;0;1986;74.5334;9999;9999;0;99;46;73;115370;221773;181555;25000000;11100000;796;3;2.261;11100000
The Great Raid;0;2005;32.4018;9999;9999;1613343;132;103;67;20523;0;0;60000000;10166500;213;3;0.469;10597100
Punisher: War Zone;0;2008;72.587;1772;4947;80584;103;129;59;58133;1230;0;35000000;8051000;622;4;1.286;10157500
Brazil;1;1985;80.4281;6322;6839;1819548;91;25;66;148;126307;481941;15000000;9929100;517;5;2.515;9932100
Running Scared;0;2006;26.1771;9999;9999;43375159;98;22;74;24;519;0;17000000;6855100;712;2;2.388;9729100
Stone Cold;0;1991;30.6983;9999;9999;174;92;45;60;6448;0;0;25000000;9286300;495;2;1.616;9286300
Death to Smoochy;0;2002;35.52;9999;9999;16066;109;3;63;37576;1663;5315;50000000;8355800;680;5;1.618;8374100
Donnie Darko;0;2001;65.281;607;944;2123888;113;3;80;707991;1627719;0;4500000;1480000;647;7;2.782;7510900
Hamlet;1;1996;58.263;9999;9999;597;64;9;47;35;8701;10349;18000000;4501100;20;4;5;7129700
Strange Wilderness;0;2008;21.2308;8816;9999;24512;87;15;53;20268;3399;1505;20000000;6575300;689;3;2.903;6947100
Red Sonja;0;1985;43.5417;9999;9999;444;89;96;51;36557;93;0;17900000;6905900;698;3;3.152;6905900
UHF;0;1989;54.5435;9999;9999;859;97;36;70;24524;0;0;5000000;6157200;982;2;1.935;6157200
Aqua Teen Hunger Force Colon Movie Film for Theaters;0;2007;58.2803;9999;9999;14465;86;67;67;12967;0;0;750000;5520400;1244;2;1.527;5520400
Equilibrium;0;2002;42.5539;9999;9999;329131;107;236;74;299631;11526;0;20000000;1190000;745;6;2.282;5345900
The Lost City;0;2006;29.2244;9999;9999;786;80;41;44;49;620;1998;9600000;2484200;751;3;2.53;5256800
Formula 51;0;2002;45.1532;9999;9999;783;93;22;63;46478;1860;242;27000000;5204000;693;5;1.587;5204000
Monty Python and the Holy Grail;0;1975;73.9232;9999;4680;795;91;48;82;471326;976034;481941;400000;3427700;498;4;1.406;5028900
You Kill Me;0;2007;15.4602;9999;9999;497;93;10;65;17361;0;0;4000000;2426900;160;4;3.125;3859000
Romeo is Bleeding;0;1994;42.0436;9999;9999;14273;110;15;66;12460;5309;0;10000000;3275600;436;5;1.606;3275600
eXistenZ;0;1999;32.5005;9999;9999;2512;97;11;68;88938;3833;29947;20700000;2840400;1043;3;0.959;2840400
Reservoir Dogs;0;1992;84.5819;679;721;436632;99;12;83;851662;1898368;144808;1200000;2832000;481;6;1.455;2832000
The Signal;0;2014;56.109;1266;3327;8232;103;78;61;19783;22530;0;4000000;600900;833;2;1.321;2665300
The Yards;0;2000;20.2108;9999;9999;9000;115;2;64;18766;37;0;20000000;882700;760;6;1.184;2282700
Zulu;0;2013;19.9468;5017;9999;1042563;138;140;77;33789;3938;2869;16000000;0;598;3;1.338;1844200
Things to Do in Denver When You're Dead;0;1995;19.6624;9999;9999;12461;115;15;68;24964;644;0;15000000;529800;504;7;6.151;529800
The Wild Bunch;1;1969;68.1243;9999;9999;682;135;145;79;73366;57421;13889;6000000;509400;680;8;1.618;509400
The Boondock Saints;0;2000;59.0146;1095;2258;6623408;108;33;78;219172;3872328;33740;7000000;30500;654;3;1.529;411900
Buffalo Soldiers;0;2003;84.7327;9789;9999;936;98;16;68;22535;1391;0;15000000;353700;580;3;3.621;353700
Mean Machine;0;2002;24.3796;9999;9999;53089569;99;3;65;33824;4708;0;4500000;92700;470;2;2.34;92700
Silent Trigger;0;1996;11.2061;9999;9999;825;93;35;55;3430;2265;0;15000000;76400;649;1;4.16;76400
Akira;0;2001;89.2073;3133;5952;0;124;119;81;146045;29;0;8000000;19600;693;0;1.299;19600
Major Dundee;0;1965;43.2612;9999;9999;773;123;147;67;6569;0;13889;3800000;14900;771;3;1.816;14900
